word	tag	sense_se-id	sense_sy-id	D@A1	F@A1	SFI@A1	U@A1	tf-idf@A1	D@A2	F@A2	SFI@A2	U@A2	tf-idf@A2	D@B1	F@B1	SFI@B1	U@B1	tf-idf@B1	D@B2	F@B2	SFI@B2	U@B2	tf-idf@B2	D@C1	F@C1	SFI@C1	U@C1	tf-idf@C1	D@TOTAL	F@TOTAL	SFI@TOTAL	U@TOTAL	tf-idf@TOTAL
auto-ongeval	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	32.250013108912185	0.16788090854970225	1.6094379124341003	-	-	-	-	-	0.0	1	17.15757964262704	0.005197062794050497	0.0
autoband	N(soort)	autoband-n-1	eng-30-02971167-n	-	-	-	-	-	-	-	-	-	-	0.0	1	26.893461530571187	0.04890419934336715	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	17.38291261957925	0.005473829451721825	0.0
autobelasting	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	23.79691586379442	0.02397129995903811	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	14.286366952802481	0.002683098986869265	0.0
autobestuurder	N(soort)	autobestuurder-n-1	-	-	-	-	-	-	-	-	-	-	-	0.18165551002032926	4	47.84851480875753	6.093284847172353	6.437751649736401	-	-	-	-	-	-	-	-	-	-	0.15220903432337493	4	42.2952703643555	1.696395205840084	0.0
autobezit	N(soort)	autobezit-n-1	-	-	-	-	-	-	-	-	-	-	-	0.0	1	14.8031883590645	0.0030221696223429136	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	5.292639448072558	0.00033827035937606786	0.0
autobiografie	N(soort)	autobiografie-n-1	odwn-10-108084742-n	-	-	-	-	-	-	-	-	-	-	0.0	1	21.42217528866886	0.013874505993483378	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	11.911626377676923	0.001552968468044675	0.0
autobus	N(soort)	autobus-n-1	eng-30-02924116-n	-	-	-	-	-	-	-	-	-	-	0.0	1	26.905643711964366	0.04904157068983728	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	17.39509480097243	0.00548920537714801	0.0
autochtoon	ADJ()	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	34.636115100219456	0.29081145549068244	1.6094379124341003	-	-	-	-	-	0.0	1	19.543681633934312	0.00900260433703126	0.0
autochtoon	N(soort)	autochtoon-n-1	eng-30-09620794-n	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	2	35.30505314295097	0.33923864064925036	3.2188758248682006	-	-	-	-	-	0.0	2	20.212619676665824	0.010501757066084288	0.0
autodealer	N(soort)	autodealer-n-1	odwn-10-109960183-n	-	-	-	-	-	-	-	-	-	-	0.0	1	25.172016728348254	0.032900437479596714	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	15.661467817356316	0.0036825341395712837	0.0
autodelen	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	22.152640603684	0.016415875903180825	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	12.642091692692059	0.0018374230884290958	0.0
autodichtheid	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	23.734246019917926	0.023627871592862778	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	14.223697108925982	0.002644659173303803	0.0
autodidact	N(soort)	autodidact-n-1	eng-30-09825413-n	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.14746305199023912	2	47.051083269141394	5.071171837223009	3.2188758248682006	-	-	-	-	-	0.10147268954891664	2	37.60818827649218	0.576525906931661	0.0
autogebruik	N(soort)	autogebruik-n-1	-	-	-	-	-	-	-	-	-	-	-	0.0	1	23.82173275886086	0.024108671305508242	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	14.311183847868927	0.0026984749122954503	0.0
automaat	N(soort)	automaat-n-1	eng-30-03699975-n	-	-	-	-	-	-	-	-	-	-	0.0	1	21.201673881238115	0.013187649261132714	0.9162907318741551	0.0	1	32.0461432958485	0.1601822278321863	0.9162907318741551	-	-	-	-	-	0.10147268954891664	2	37.54724421574477	0.5684920838253286	0.0
automatisch	ADJ()	r_a-8836	-	-	-	-	-	-	-	-	-	-	-	0.12110367334688617	2	43.089991997436634	2.037038324136662	3.2188758248682006	-	-	-	-	-	-	-	-	-	-	0.10147268954891664	2	37.52899965365621	0.5661088774868207	0.0
automatisch	ADJ()	r_a-9123	-	-	-	-	-	-	0.0	1	18.681580860030863	0.007381728809384972	0.5108256237659907	0.0	1	23.895343755324554	0.02452078534491864	0.5108256237659907	0.23372340764642327	3	50.6331151994045	11.569418203504114	1.5324768712979722	-	-	-	-	-	0.23561228872741274	5	45.16622600127998	3.285659844786514	0.0
automatiseren	WW()	automatiseren-v-1	eng-30-00479932-v	-	-	-	-	-	-	-	-	-	-	0.0	1	23.154326550141057	0.020674387643754934	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	13.643777639149114	0.0023140767766408276	0.0
automatisering	N(soort)	d_n-15124	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	52.24194320186855	16.756924780872108	1.6094379124341003	0.0	1	15.466767463249376	0.0035210869225963423	0.0
automobilist	N(soort)	automobilist-n-1	eng-30-10334101-n	-	-	-	-	-	0.11358304386814942	2	41.64839993118771	1.461638564536622	1.0216512475319814	0.19194478095439876	3	46.845304763476534	4.836492028960057	1.5324768712979722	-	-	-	-	-	0.0	4	58.904833545924184	77.71115335059467	2.043302495063963	0.23146286929900126	9	47.63367910439173	5.799197645773043	0.0
automonteur	N(soort)	automonteur-n-1	eng-30-09825750-n	-	-	-	-	-	0.0	1	20.918909794939935	0.012356372137448756	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	13.743619848215127	0.002367892515632475	0.0
autonomie	N(soort)	autonomie-n-1	odwn-10-109758498-n	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.1354147063195972	3	48.469169309090134	7.029378535349223	4.828313737302301	-	-	-	-	-	0.09318194808307471	3	39.00625246878499	0.7954726400807121	0.0
autonoom	ADJ()	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	32.79849978898564	0.19048026162370063	1.6094379124341003	-	-	-	-	-	0.0	1	17.706066322700494	0.00589666740094191	0.0
autoraam	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	26.368955186643966	0.04334065981132679	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	16.858406275652026	0.0048511044719613365	0.0
autoradio	N(soort)	autoradio-n-1	odwn-10-104832097-n	-	-	-	-	-	-	-	-	-	-	0.0	1	23.79691586379442	0.02397129995903811	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	14.286366952802481	0.002683098986869265	0.0
autorijden	WW()	autorijden-v-1	odwn-10-105332795-v	0.1745834300480449	2	54.714659814571945	29.611880047075022	1.8325814637483102	-	-	-	-	-	0.19194478095439876	3	46.828026473400534	4.817288400371043	2.7488721956224653	-	-	-	-	-	-	-	-	-	-	0.23561228872741274	5	45.153219121362476	3.275834195966311	0.0
autoritair	ADJ()	autoritair-a-1	eng-30-02651014-a	-	-	-	-	-	-	-	-	-	-	0.0	1	27.14813111049451	0.051857683292475	0.9162907318741551	0.0	1	31.11057958584382	0.12913916042284787	0.9162907318741551	-	-	-	-	-	0.10147268954891664	2	37.57029700082144	0.5715177196985647	0.0
autoriteit	N(soort)	autoriteit-n-2	odwn-10-102094173-n	-	-	-	-	-	0.0	1	15.327591887078427	0.0034100377652050147	0.9162907318741551	-	-	-	-	-	0.0	1	34.02375567872327	0.25256639644237744	0.9162907318741551	-	-	-	-	-	0.10147268954891664	2	37.561206292558936	0.5703226626070811	0.0
autosnelweg	N(soort)	autosnelweg-n-1	eng-30-03306610-n	-	-	-	-	-	-	-	-	-	-	0.18165551002032926	4	47.81210630049502	6.042416116451976	3.6651629274966204	-	-	-	-	-	0.0	1	52.88423363264456	19.427788337648668	0.9162907318741551	0.1950232129078461	5	44.32849736030579	2.7092540797798788	0.0
autosuggestie	N(soort)	autosuggestie-n-1	eng-30-14026781-n	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	31.44017476205744	0.13932128653311088	1.6094379124341003	-	-	-	-	-	0.0	1	16.347741295772302	0.004312947082044865	0.0
autoverhuurbedrijf	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	24.517633754533968	0.028298497372847283	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	15.007084843542028	0.0031674406377940898	0.0
autovrij	ADJ()	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	29.1356855482747	0.08195369796065345	1.6094379124341003	-	-	-	-	-	0.0	1	14.043252081989559	0.0025370276953205085	0.0
avatar	N(soort)	avatar-n-1	eng-30-10418302-n	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	30.264983839627547	0.10629146280957479	1.6094379124341003	-	-	-	-	-	0.0	1	15.172550373342407	0.0032904480412035693	0.0
avond uit	N(soort) VZ(fin)	-	-	-	-	-	-	-	0.0	1	22.670411883831978	0.01849444011481778	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	15.495121937107164	0.0035441508107356195	0.0
avond	N(soort)	avond-n-1	eng-30-15166462-n	0.1745834300480449	2	54.8213817436741	30.348565952382334	0.44628710262841953	0.5216947813158008	28	59.68077779278466	92.9132773434195	6.248019436797874	0.48143772505876253	21	59.27627402064474	84.65008568796702	4.686014577598405	0.2834133825778763	5	53.62531816683314	23.04261781520756	1.1157177565710488	-	-	-	-	-	0.5589278606432161	56	59.39288369548898	86.95376066358311	0.0
avond	N(soort)	avond-n-2	eng-30-08256567-n	0.0	1	44.942916966451314	3.120985109735693	0.22314355131420976	0.4969510748886908	29	59.62511399721045	91.73000131238052	6.471162988112083	0.5068467428974053	29	60.90795763817519	123.25250758848132	6.471162988112083	0.23372340764642327	3	50.55396227941798	11.360468136705137	0.6694306539426294	-	-	-	-	-	0.5493443299128679	62	59.76205169316577	94.66842881531365	0.0
avondeten	N(soort)	avondeten-n-1	eng-30-07575726-n	0.0	1	41.07395281685929	1.2805462883640233	0.5108256237659907	0.22716608773629884	4	47.64628204970377	5.8160509845378545	2.043302495063963	0.12110367334688617	2	43.46933697212683	2.222970488708649	1.0216512475319814	-	-	-	-	-	-	-	-	-	-	0.2848698544595743	7	47.451305135846795	5.5607134196349435	0.0
avondklok	N(soort)	avondklok-n-1	odwn-10-107266575-n	-	-	-	-	-	-	-	-	-	-	0.0	4	27.267278806784503	0.053300082430411386	3.6651629274966204	0.0	1	34.99883018603238	0.31614259849670256	0.9162907318741551	-	-	-	-	-	0.07325598544914615	5	40.12917097992991	1.030189449913928	0.0
avondleven	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	30.816908842118764	0.12069544608750782	1.6094379124341003	-	-	-	-	-	0.0	1	15.724475375833617	0.0037363498785629307	0.0
avondmaal	N(soort)	dinner.n.01	eng-30-07575726-n	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	31.717557989379937	0.14851003448627503	1.6094379124341003	-	-	-	-	-	0.0	1	16.62512452309479	0.004597401702429286	0.0
avondschool	N(soort)	avondschool-n-1	odwn-10-107614763-n	-	-	-	-	-	0.11358304386814942	2	41.76659853774083	1.501965142722608	3.2188758248682006	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.10147268954891664	2	37.596464254587275	0.5749716419282863	0.0
